FID,the_geom,code,timestamp,air_pressure,air_temperature_avg,air_temperature_max,air_temperature_min,relative_humidity,precipitation,wind_speed,qc_flags
aws_1day.fid-43fc473f_19185bab7bf_-62a8,POINT (4.358 50.797),6447,2004-01-12T00:00:00,987.26,5.31,6.51,4.16,90.85,21.7,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62a7,POINT (4.358 50.797),6447,2004-01-13T00:00:00,978.7,7.97,9.98,5.96,81.96,11.2,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62a6,POINT (4.358 50.797),6447,2004-01-14T00:00:00,984.62,4.84,6.33,2.11,86.87,9.1,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62a5,POINT (4.358 50.797),6447,2004-01-15T00:00:00,992.49,4.12,6.25,0.65,88.87,30.5,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62a4,POINT (4.358 50.797),6447,2004-01-16T00:00:00,980.48,6.75,8.29,4.5,78.55,6,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62a3,POINT (4.358 50.797),6447,2004-01-17T00:00:00,987.72,4.02,5.02,2.33,85.39,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62a2,POINT (4.358 50.797),6447,2004-01-18T00:00:00,1009.1,1.97,4,-0.46,78.44,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62a1,POINT (4.358 50.797),6447,2004-01-19T00:00:00,1001.84,5.13,9.03,1.27,93.94,28.2,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-62a0,POINT (4.358 50.797),6447,2004-01-20T00:00:00,999.93,6.48,9.14,2.54,85.41,3,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
aws_1day.fid-43fc473f_19185bab7bf_-629f,POINT (4.358 50.797),6447,2004-01-21T00:00:00,1007.61,2.54,4.84,0.19,67.57,0,,"{""validated"": {""air_pressure"":false,""air_temperature_avg"":false,""air_temperature_max"":false,""air_temperature_min"":false,""relative_humidity"":false,""precipitation"":false,""wind_speed"":false}}"
